,alpha_u,alpha_i,alpha_b,dim,lr,sigma,valid_error,valid_mpr,valid_hit_rate,epoch,valid_correct_count
76,0.001,0.01,0.001,40,0.003486784401000002,0.01,-2104.463051741599,0.11252227614374656,[0.00844371 0.07615894 0.25927152 0.87963576],50,4990
77,0.01,0.1,0.01,20,0.003486784401000002,0.1,-2997.305266856322,0.12770079809814894,[0.00711921 0.06324503 0.22549669 0.84834437],50,4747
78,0.001,0.01,0.01,40,0.000729,0.001,-4053.1199091927797,0.2835246802691915,[0.00529801 0.04139073 0.15082781 0.6589404 ],8,3127
79,0.05,0.05,0.05,5,0.03280500000000001,0.1,-3067.4160094198137,0.15375973045195715,[0.00678808 0.0615894  0.18940397 0.80099338],19,4672
80,0.001,0.1,0.1,45,0.02657205000000001,0.01,-2518.0837390369297,0.14502672243522619,[0.00811258 0.05513245 0.19586093 0.81655629],31,4979
81,0.05,0.1,0.05,5,0.008100000000000001,0.001,-4058.757017022421,0.25010268922433243,[0.00529801 0.04354305 0.14668874 0.64933775],6,3258
82,0.05,0.05,0.05,60,0.003486784401000002,0.1,-3004.0704774864957,0.1285420632579916,[0.00778146 0.06986755 0.23576159 0.8513245 ],50,4819
83,0.01,0.1,0.1,45,0.000729,0.01,-4079.914214220605,0.28918223985843217,[0.00529801 0.04139073 0.14817881 0.61870861],14,3016
84,0.1,0.001,0.01,5,0.008100000000000001,0.0001,-4051.9060502083453,0.2267158663341996,[0.00529801 0.04354305 0.14701987 0.71523179],6,3648
85,0.05,0.01,0.05,30,0.02391484500000001,0.0001,-2366.1609179268435,0.12557475578911567,[0.00827815 0.07135762 0.23294702 0.85844371],33,5127
86,0.001,0.01,0.05,30,0.000729,0.001,-4059.920493917524,0.2941870212975123,[0.00529801 0.04139073 0.15082781 0.63311258],8,3052
87,0.01,0.01,0.05,20,0.000729,0.01,-4062.0241583963466,0.29335612337006595,[0.00529801 0.04139073 0.15082781 0.63476821],8,3015
88,0.1,0.05,0.001,30,0.000729,0.001,-4053.9003626565236,0.28071676899840037,[0.00529801 0.04139073 0.15082781 0.66639073],8,3062
89,0.05,0.1,0.05,100,0.000729,0.001,-4062.6837786678902,0.2941322805230084,[0.00529801 0.04139073 0.15082781 0.63245033],8,3047
90,0.01,0.05,0.001,15,0.05904900000000002,0.0001,-2449.875487908242,0.13065925767041078,[0.00695364 0.05927152 0.20943709 0.84602649],23,4847
91,0.05,0.01,0.05,5,0.03280500000000001,0.001,-2796.7537424456696,0.1650637227301567,[0.00695364 0.05612583 0.17698675 0.79238411],19,4703
92,0.05,0.001,0.05,60,0.03645000000000001,0.0001,-2631.6468512984043,0.16608306298093622,[0.00811258 0.06556291 0.21903974 0.79768212],16,4945
93,0.1,0.001,0.01,5,0.045000000000000005,0.1,-3815.272455225499,0.29173843293919904,[0.00546358 0.04884106 0.13923841 0.64238411],5,4256
94,0.05,0.05,0.01,5,0.008100000000000001,0.01,-4055.0880416011423,0.24468804461484767,[0.00529801 0.04139073 0.14701987 0.71109272],2,0
95,0.1,0.05,0.1,60,0.03280500000000001,0.1,-3288.6698059740634,0.1395713238777014,[0.00645695 0.06258278 0.20993377 0.82781457],21,4819
96,0.001,0.1,0.01,5,0.008100000000000001,0.001,-4052.086672021951,0.22670759936009058,[0.00529801 0.04354305 0.14701987 0.71523179],6,3266
97,0.001,0.1,0.001,10,0.02391484500000001,0.001,-2590.7604156208545,0.13567154641570767,[0.00745033 0.06208609 0.2057947  0.83476821],33,4754
98,0.1,0.05,0.01,10,0.003486784401000002,0.1,-3343.9575571824676,0.13090650722578204,[0.00728477 0.0634106  0.22566225 0.84834437],50,4642
99,0.05,0.1,0.05,45,0.02657205000000001,0.001,-3261.8314131731468,0.13868899196539397,[0.00860927 0.06506623 0.20794702 0.82847682],30,4706
